Data; Wartość kWh;Rodzaj;
15.10.2021 15:00;0.463;oddanie;
15.10.2021 16:00;2.023;oddanie;
15.10.2021 17:00;0.355;oddanie;
15.10.2021 18:00;0.001;oddanie;
15.10.2021 19:00;0.000;oddanie;
15.10.2021 20:00;0.000;oddanie;
15.10.2021 21:00;0.000;oddanie;
15.10.2021 22:00;0.000;oddanie;
15.10.2021 23:00;0.000;oddanie;
15.10.2021 24:00;0.000;oddanie;
16.10.2021 1:00;0.000;oddanie;
16.10.2021 2:00;0.000;oddanie;
16.10.2021 3:00;0.000;oddanie;
16.10.2021 4:00;0.000;oddanie;
16.10.2021 5:00;0.000;oddanie;
16.10.2021 6:00;0.000;oddanie;
16.10.2021 7:00;0.000;oddanie;
16.10.2021 8:00;0.007;oddanie;
16.10.2021 9:00;0.106;oddanie;
16.10.2021 10:00;0.590;oddanie;
16.10.2021 11:00;0.635;oddanie;
16.10.2021 12:00;0.711;oddanie;
16.10.2021 13:00;0.545;oddanie;
16.10.2021 14:00;0.717;oddanie;
16.10.2021 15:00;0.576;oddanie;
16.10.2021 16:00;0.325;oddanie;
16.10.2021 17:00;0.077;oddanie;
16.10.2021 18:00;0.000;oddanie;
16.10.2021 19:00;0.000;oddanie;
16.10.2021 20:00;0.000;oddanie;
16.10.2021 21:00;0.000;oddanie;
16.10.2021 22:00;0.000;oddanie;
16.10.2021 23:00;0.000;oddanie;
16.10.2021 24:00;0.000;oddanie;
17.10.2021 1:00;0.000;oddanie;
17.10.2021 2:00;0.000;oddanie;
17.10.2021 3:00;0.000;oddanie;
17.10.2021 4:00;0.000;oddanie;
17.10.2021 5:00;0.000;oddanie;
17.10.2021 6:00;0.000;oddanie;
17.10.2021 7:00;0.000;oddanie;
17.10.2021 8:00;0.001;oddanie;
17.10.2021 9:00;0.110;oddanie;
17.10.2021 10:00;0.515;oddanie;
17.10.2021 11:00;1.456;oddanie;
17.10.2021 12:00;2.326;oddanie;
17.10.2021 13:00;1.367;oddanie;
17.10.2021 14:00;1.344;oddanie;
17.10.2021 15:00;1.296;oddanie;
17.10.2021 16:00;1.073;oddanie;
17.10.2021 17:00;0.769;oddanie;
17.10.2021 18:00;0.048;oddanie;
17.10.2021 19:00;0.000;oddanie;
17.10.2021 20:00;0.000;oddanie;
17.10.2021 21:00;0.000;oddanie;
17.10.2021 22:00;0.000;oddanie;
17.10.2021 23:00;0.000;oddanie;
17.10.2021 24:00;0.000;oddanie;
19.10.2021 1:00;0.000;oddanie;
19.10.2021 2:00;0.000;oddanie;
19.10.2021 3:00;0.000;oddanie;
19.10.2021 4:00;0.000;oddanie;
19.10.2021 5:00;0.000;oddanie;
19.10.2021 6:00;0.000;oddanie;
19.10.2021 7:00;0.000;oddanie;
19.10.2021 8:00;0.000;oddanie;
19.10.2021 9:00;0.077;oddanie;
19.10.2021 10:00;0.530;oddanie;
19.10.2021 11:00;1.649;oddanie;
19.10.2021 12:00;2.283;oddanie;
19.10.2021 13:00;2.543;oddanie;
19.10.2021 14:00;2.831;oddanie;
19.10.2021 15:00;2.217;oddanie;
19.10.2021 16:00;1.473;oddanie;
19.10.2021 17:00;0.131;oddanie;
19.10.2021 18:00;0.000;oddanie;
19.10.2021 19:00;0.000;oddanie;
19.10.2021 20:00;0.000;oddanie;
19.10.2021 21:00;0.000;oddanie;
19.10.2021 22:00;0.000;oddanie;
19.10.2021 23:00;0.000;oddanie;
19.10.2021 24:00;0.000;oddanie;
20.10.2021 1:00;0.000;oddanie;
20.10.2021 2:00;0.000;oddanie;
20.10.2021 3:00;0.000;oddanie;
20.10.2021 4:00;0.000;oddanie;
20.10.2021 5:00;0.000;oddanie;
20.10.2021 6:00;0.000;oddanie;
20.10.2021 7:00;0.000;oddanie;
20.10.2021 8:00;0.002;oddanie;
20.10.2021 9:00;0.205;oddanie;
20.10.2021 10:00;0.761;oddanie;
20.10.2021 11:00;1.190;oddanie;
20.10.2021 12:00;1.145;oddanie;
20.10.2021 13:00;2.405;oddanie;
20.10.2021 14:00;2.192;oddanie;
20.10.2021 15:00;2.104;oddanie;
20.10.2021 16:00;1.125;oddanie;
20.10.2021 17:00;0.425;oddanie;
20.10.2021 18:00;0.002;oddanie;
20.10.2021 19:00;0.000;oddanie;
20.10.2021 20:00;0.000;oddanie;
20.10.2021 21:00;0.000;oddanie;
20.10.2021 22:00;0.000;oddanie;
20.10.2021 23:00;0.000;oddanie;
20.10.2021 24:00;0.000;oddanie;
21.10.2021 1:00;0.000;oddanie;
21.10.2021 2:00;0.000;oddanie;
21.10.2021 3:00;0.000;oddanie;
21.10.2021 4:00;0.000;oddanie;
21.10.2021 5:00;0.000;oddanie;
21.10.2021 6:00;0.000;oddanie;
21.10.2021 7:00;0.000;oddanie;
21.10.2021 8:00;0.000;oddanie;
21.10.2021 9:00;0.015;oddanie;
21.10.2021 10:00;0.481;oddanie;
21.10.2021 11:00;1.582;oddanie;
21.10.2021 12:00;1.178;oddanie;
21.10.2021 13:00;0.622;oddanie;
21.10.2021 14:00;0.194;oddanie;
21.10.2021 15:00;0.013;oddanie;
21.10.2021 16:00;0.001;oddanie;
21.10.2021 17:00;0.179;oddanie;
21.10.2021 18:00;0.000;oddanie;
21.10.2021 19:00;0.000;oddanie;
21.10.2021 20:00;0.000;oddanie;
21.10.2021 21:00;0.000;oddanie;
21.10.2021 22:00;0.000;oddanie;
21.10.2021 23:00;0.000;oddanie;
21.10.2021 24:00;0.000;oddanie;
